CustomerID,Age,Annual_Income($),Spending_Score
1,19,15000,39
2,21,15000,81
3,20,16000,6
4,23,16000,77
5,31,17000,40
6,22,17000,76
7,35,18000,6
8,23,18000,94
9,64,19000,3
10,30,19000,72
11,67,19000,14
12,35,19000,99
13,58,20000,15
14,24,20000,77
15,37,20000,13
16,22,20000,79
17,35,21000,35
18,20,21000,66
19,52,23000,29
20,35,23000,98
21,35,24000,35
22,25,24000,73
23,46,25000,5
24,31,25000,73
25,54,28000,14
26,29,28000,82
27,45,28000,32
28,35,28000,61
29,40,29000,31
30,23,29000,87
31,60,30000,4
32,21,30000,73
33,53,33000,4
34,18,33000,92
35,49,33000,14
36,21,33000,81
37,42,34000,17
38,30,34000,73
39,36,37000,26
40,20,37000,75
41,65,38000,35
42,24,38000,92
43,48,39000,36
44,31,39000,61
45,49,39000,28
46,24,39000,65
47,50,40000,55
48,27,40000,47
49,29,40000,42
50,31,40000,42
51,49,42000,52
52,33,42000,60
53,31,43000,54
54,59,43000,60
55,50,43000,45
56,47,43000,41
57,51,44000,50
58,69,44000,46
59,27,46000,51
60,53,46000,46
61,70,46000,56
62,19,46000,55
63,67,47000,52
64,54,47000,59
65,63,48000,51
66,18,48000,59
67,43,48000,50
68,68,48000,48
69,19,48000,59
70,32,48000,47
71,70,49000,55
72,47,49000,42
73,60,50000,49
74,60,50000,56
75,59,54000,47
76,26,54000,54
77,45,54000,53
78,40,54000,48
79,23,54000,52
80,49,54000,42
81,57,54000,51
82,38,54000,55
83,67,54000,41
84,46,54000,44
85,21,54000,57
86,48,54000,46
87,55,57000,58
88,22,57000,55
89,34,58000,60
90,50,58000,46
91,68,59000,55
92,18,59000,41
93,48,60000,49
94,40,60000,40
95,32,60000,42
96,24,60000,52
97,47,60000,47
98,27,60000,50
99,48,61000,42
100,20,61000,49
101,23,62000,41
102,49,62000,48
103,67,62000,59
104,26,62000,55
105,49,62000,56
106,21,62000,42
107,66,63000,50
108,54,63000,46
109,68,63000,43
110,66,63000,48
111,65,63000,52
112,19,63000,54
113,38,64000,42
114,19,64000,46
115,18,65000,48
116,19,65000,50
117,63,65000,43
118,49,65000,59
119,51,67000,43
120,50,67000,57
121,27,67000,56
122,38,67000,40
123,40,69000,58
124,39,69000,91
125,23,70000,29
126,31,70000,77
127,43,71000,35
128,40,71000,95
129,59,71000,11
130,38,71000,75
131,47,71000,9
132,39,71000,75
133,25,72000,34
134,31,72000,71
135,20,73000,5
136,29,73000,88
137,44,73000,7
138,32,73000,73
139,19,74000,10
140,35,74000,72
141,57,75000,5
142,32,75000,93
143,28,76000,40
144,32,76000,87
145,25,77000,12
146,28,77000,97
147,48,77000,36
148,32,77000,74
149,34,78000,22
150,34,78000,90
151,43,78000,17
152,39,78000,88
153,44,78000,20
154,38,78000,76
155,47,78000,16
156,27,78000,89
157,37,78000,1
158,30,78000,78
159,34,78000,1
160,30,78000,73
161,56,79000,35
162,29,79000,83
163,19,81000,5
164,31,81000,93
165,50,85000,26
166,36,85000,75
167,42,86000,20
168,33,86000,95
169,36,87000,27
170,32,87000,63
171,40,87000,13
172,28,87000,75
173,36,87000,10
174,36,87000,92
175,52,88000,13
176,30,88000,86
177,58,88000,15
178,27,88000,69
179,59,93000,14
180,35,93000,90
181,37,97000,32
182,32,97000,86
183,46,98000,15
184,29,98000,88
185,41,99000,39
186,30,99000,97
187,54,101000,24
188,28,101000,68
189,41,103000,17
190,36,103000,85
191,34,103000,23
192,32,103000,69
193,33,113000,8
194,38,113000,91
195,47,120000,16
196,35,120000,79
197,45,126000,28
198,32,126000,74
199,32,137000,18
200,30,137000,83
